URLCODE,tags_c,Stars,Text_Cleaned,MajLang,License,LastUpdated
4,,21,"['collection', 'exercise', 'pandas', 'numpy', 'sklearn', 'beginners']",0,0,8-Jun-21
4,,7,"['web', 'application', 'created', 'using', 'streamlit', 'host', 'intelligent', 'salary', 'predictor', 'project', 'returns', 'position']",0,0,27-Jul-21
4,"['data-science', 'r', 'rstats', 'citz']",8,"['evalparse', 'io']",1,0,7-Apr-19
4,,21,"['collection', 'projects']",1,0,7-Nov-20
4,,11,"['3', 'weeks', 'insight', 'project']",0,0,29-Jun-20
4,"['machine-learning', 'data-science', 'logistic-regression', 'heroku-deployment', 'streamlit-webapp']",11,"['cloud', 'agnostic', 'productivity', 'tool']",0,MIT license,8-Sep-21
4,,4,"['decision', 'tree', 'using', 'abalone', 'dataset']",0,0,27-Nov-19
4,,5,"['welcome', 'repository', 'includes', 'code', 'required', 'dealing', 'matrices', 'data', 'frames']",1,0,23-Jul-21
4,"['python', 'machine-learning', 'data-science', 'scikit-learn', 'lib', 'async', 'rest-api', 'lib', 'pytorch', 'dataframe', 'serving']",5,"['welcome', 'repository', 'includes', 'code', 'required', 'dealing', 'matrices', 'data', 'frames']",1,0,23-Jul-21
4,,17,"['foundational', 'tools', 'bcg', 'gammas', 'packages']",0,Apache-2.0 license,22-Oct-21
4,,7,"['spatial', 'conference', 'workshop', 'introduction', 'spatial']",1,0,15-Oct-19
4,,5,"['open', 'solution', '2018', 'bowl', 'competition', 'kaggle', '28th', 'place', '0', '569', 'miou', 'score']",0,0,15-Aug-18
4,,5,"['collection', 'projects', 'part', 'program', 'greyatom', 'edutech', 'pvt', 'ltd']",0,MIT license,1-May-20
4,,4,"['one', 'stop', 'repo', 'along', 'roadmap']",0,0,3-Sep-21
4,,4,"['crack', 'bowl', 'challenge', '2017', 'using', 'spie', 'aapm', 'lung', 'ct', 'dataset']",0,0,25-Aug-21
4,,4,"['collection', 'projects', 'learning']",0,0,3-May-18
4,,4,"['sample', 'codes', 'introduction', 'help', 'work']",0,0,15-Nov-17
4,,3,"['package', 'functions', 'streamline', 'projects']",1,0,8-Jun-18
4,,3,"['non', 'intrusive', 'load', 'monitoring']",0,GPL-3.0 license,3-Oct-19
4,,7,"['visualization', 'gui', 'application']",0,0,9-Apr-17
4,,13,"['analysing', 'capture', 'seq', 'count', 'data']",1,0,11-Jun-18
4,,11,"['utilities', 'statistics', 'machine', 'learning']",0,BSD-3-Clause license,4-Dec-19
4,,4,"['equity', 'performance', 'analysis', 'prediction', 'stock', 'value', 'using', 'various', 'machine', 'learning', 'models']",0,0,12-Feb-19
4,,4,"['equity', 'performance', 'analysis', 'prediction', 'stock', 'value', 'using', 'various', 'machine', 'learning', 'models']",0,0,12-Feb-19
4,,6,"['project', 'archetype', 'worfklows']",1,0,23-Apr-21
4,,6,"['text', 'technologies', 'group', 'assignment']",0,0,7-Feb-19
4,,3,"['web', 'application', 'visualizing', 'road', 'accidents', 'new', 'york', 'city']",0,0,4-Jun-20
4,,3,"['analysing', 'german', 'ds', 'job', 'market']",1,0,26-Aug-17
4,,3,"['private', 'science', 'data', 'sharing']",0,0,16-Jan-18
4,,4,"['freecodecamp', 'course', 'build', 'interactive', 'data', 'driven', 'web', 'apps', 'using', 'streamlit', 'library']",0,MIT license,7-May-21
4,,8,"['collaboration', 'tool', 'based', 'ipython', 'notebooks']",0,MIT license,17-Oct-17
4,,3,"['collection', 'projects', 'part', 'program', 'greyatom', 'edutech', 'pvt', 'ltd']",0,MIT license,7-Jun-20
4,,3,"['tools', 'libs', 'scripts', 'related', 'usage']",0,0,8-Apr-15
4,,3,"['data', 'shopify', 'app', 'stores', 'ratings', 'reviews', 'kaggle', 'used', 'exploratory', 'data', 'analysis', 'practice', 'data']",0,0,4-Mar-19
4,,3,"['2020', '2021', 'fall', 'algorithm', 'foundations']",0,0,31-Jan-21
4,[],3,"['collection', 'projects', 'part', 'program', 'greyatom', 'edutech', 'pvt', 'ltd']",0,MIT license,3-Nov-20
4,,2,"['bloggers', 'bot', 'mini', 'project', 'stay', 'date', 'world', 'tracking', 'hundreds']",0,0,4-Apr-18
4,,2,"['collection', 'various', 'related', 'files']",0,0,17-May-20
4,[],2,"['study', 'basic', 'ml', 'tools', 'methods']",1,0,9-Dec-20
4,[],2,"['homework', 'data', 'engine', 'science']",0,0,2-Aug-20
4,,2,"['exercises', 'project', 'ut', 'econ', 'data', 'mining', 'statistical', 'learning', 'class']",1,0,8-May-20
4,,2,"['combine', 'data']",0,0,6-May-15
4,[],2,"['portfolio', 'projects', 'completed', 'academic', 'self', 'learning', 'hobby', 'purposes']",0,0,25-Aug-21
4,,5,"['project', 'streamlining', 'large', 'scale', 'etl', 'pipelines']",0,0,14-Oct-21
4,,2,"['example', 'data', 'music', 'science', 'projects']",1,0,15-Apr-21
4,,0,"['collection', 'projects']",1,0,4-Jan-21
4,,0,"['projects', 'related', 'learning']",0,0,16-Oct-19
4,,0,"['collection', 'projects']",1,0,4-Jan-21
4,"['data-science', 'data', 'package', 'data-visualization', 'matrices', 'basics', 'data-frames', 'ggplot2-themes', 'ggplot2-geom']",2,"['code', 'related', 'datascience', 'machinelearning']",0,0,16-May-18
4,,2,"['repository', 'contains', 'assignments', 'lab', 'works', 'specially', 'web', 'scrapting', 'like', 'extract', 'data', 'github']",0,0,17-Feb-20
4,,2,"['repository', 'contains', 'assignments', 'lab', 'works', 'specially', 'web', 'scrapting', 'like', 'extract', 'data', 'github']",0,0,17-Feb-20
4,,4,"['capstone', 'project', 'galvanize', 'course']",0,0,23-Sep-15
4,,4,"['capstone', 'project', 'galvanize', 'course']",0,0,23-Sep-15
4,,4,"['frictionless', 'json', 'data', 'packages', 'life', 'science']",0,AGPL-3.0 license,28-Sep-20
4,,2,"['additional', 'materials', 'machine', 'learning', 'marcin', 'szeliga']",1,0,12-Sep-17
4,,2,"['machine', 'learning', 'data', 'analysis']",1,0,7-Jun-21
4,,2,"['project', 'dedicated', 'download', 'concatenate', 'distribute', 'databases', 'made', 'available', 'department', 'infor']",1,0,15-Jan-19
4,,6,"['airflow', 'plugin', 'pipeline', 'visualisation']",0,Apache-2.0 license,27-Dec-19
4,,3,"['codes', '1', 'wos', 'author', 'disambiguation', '2', 'crawler']",0,0,17-Apr-18
6,,1,"['classic', 'computer', 'science', 'algorithms', 'data', 'structures']",0,0,1-Apr-10
6,,1,"['solutions', 'exercises', 'bevington', 'data', 'reduction', 'error', 'analysis', 'physical', 'sciences']",0,0,20-Apr-10
6,,2,"['scrape', 'data', 'uk', 'engineering', 'physical', 'sciences', 'research', 'council', 'grants', 'web', 'service']",0,0,14-Jul-11
